Vector Configuration, Seconds, # Data Comparisons, # Loop Comparisons, # Data Assignments, # Loop Assignments, # Other, # Total
Sorted N=500,7e-06, 499, 502, 4, 499, 0, 1504
Sorted N=1000,1.3e-05, 999, 1002, 4, 999, 0, 3004
Sorted N=5000,4.5e-05, 4999, 5002, 4, 4999, 0, 15004
Sorted N=10000,9e-05, 9999, 10002, 4, 9999, 0, 30004
Descending N=500,0.003493, 249500, 250501, 500002, 249500, 0, 1249503
Descending N=1000,0.013994, 999000, 1001001, 2000002, 999000, 0, 4999003
Descending N=5000,0.394241, 24995000, 25005001, 50000002, 24995000, 0, 124995003
Descending N=10000,1.47962, 99990000, 100010001, 200000002, 99990000, 0, 499990003
Random N=500,0.002851, 236526, 237475, 249134, 236526, 0, 959661
Random N=1000,0.011675, 944055, 945946, 1015048, 944055, 0, 3849104
Random N=5000,0.297715, 24575084, 24584917, 25104050, 24575084, 0, 98839135
Random N=10000,1.18199, 98130186, 98149815, 99936858, 98130186, 0, 394347045
